GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
39	rs17701675	8	8862521	rs6987558	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Mean corpuscular hemoglobin	approximately 443,000 European ancestry individuals	NA	8p23.1		ERI1			ENSG00000104626			rs6987558-?	rs6987558	0	6987558	intron_variant	0	NR	4E-18	17.397940008672037				NR [~ 8900000] (imputed)	N
39	rs17701675	8	8863059	rs6993244	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular hemoglobin	172,332 European ancestry individuals	NA	8p23.1	ERI1	ERI1			ENSG00000104626			rs6993244-G	rs6993244	0	6993244	intron_variant	0	0.4534	1E-11	11.0		0.02422854	[0.017-0.031] unit decrease	Affymetrix [~ 2500000] (imputed)	N
39	rs17701675	8	8871710	rs2979256	2019-04-12	30696823	Jones SE	2019-01-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30696823	Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms.	Morning person	252,287 European ancestry cases, 150,908 European ancestry controls	120,478 European ancestry cases, 127,622 European ancestry controls	8p23.1	ERI1	ERI1			ENSG00000104626			rs2979256-T	rs2979256	0	2979256	intron_variant	0	0.4476	9E-14	13.045757490560675		1.0279		Affymetrix [11880941] (imputed)	N
39	rs17701675	8	8890098	rs1045529	2013-01-16	23049088	Meng W	2012-10-09	Invest Ophthalmol Vis Sci	www.ncbi.nlm.nih.gov/pubmed/23049088	A genome-wide association study provides evidence for association of chromosome 8p23 (MYP10) and 10q21.1 (MYP15) with high myopia in the French Population.	Myopia (pathological)	187 European ancestry cases, 1064 European ancestry controls		8p23.1	intergenic	ERI1			ENSG00000104626			rs1045529-?	rs1045529	0	1045529	3_prime_UTR_variant	0	.528	3E-6	5.522878745280337			[NR]	Affymetrix, Illumina [152234]	N
39	rs17701675	8	8890098	rs1045529	2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Myopia	106,086 European ancestry cases, 85,757 European ancestry controls	NA	8p23.1	intergenic	ERI1			ENSG00000104626			rs1045529-?	rs1045529	0	1045529	3_prime_UTR_variant	0	NR	7E-6	5.154901959985743				Illumina [13762925] (imputed)	N
39	rs17701675	8	8914757	rs2953805	2016-12-08	26835600	Hu Y	2016-02-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26835600	GWAS of 89,283 individuals identifies genetic variants associated with self-reporting of being a morning person.	Morning vs. evening chronotype	38,937 European ancestry morning chronotype individuals, 50,346 European ancestry evening chronotype individuals	NA	8p23.1	NR	ERI1			ENSG00000104626			rs2953805-?	rs2953805	0	2953805	intron_variant	0	NR	8E-6	5.096910013008056				Illumina [7427422] (imputed)	N
39	rs17701675	8	8914757	rs2953805	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	8p23.1	CLDN23, ERI1, MFHAS1, PPP1R3B	ERI1			ENSG00000104626			rs2953805-T	rs2953805	0	2953805	intron_variant	0	0.53061	2E-29	28.69897000433602		11.245	z score increase	Illumina [18485882] (imputed)	N
39	rs17701675	8	8914812	rs2921378	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	8p23.1	NR	ERI1			ENSG00000104626			rs2921378-G	rs2921378	0	2921378	intron_variant	0	0.463797103773801	1E-27	27.0		0.020232957	[0.017-0.024] unit decrease	NR [NR]	N
39	rs17701675	8	8919136	rs3021416	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	8p23.1	U3	ERI1			ENSG00000104626			rs3021416-G	rs3021416	0	3021416	intron_variant	0	NR	1E-13	13.0		0.012997	[0.0096-0.0164] unit decrease	Affymetrix [18485882] (imputed)	N
39	rs12547493	8	9033093	rs393155	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	8p23.1	intergenic	AC022784.1			ENSG00000248538			rs393155-A	rs393155	0	393155	intron_variant	0	0.49385	2E-26	25.69897000433602		10.661	z score decrease	Illumina [18485882] (imputed)	N
39	rs12547493	8	9033093	rs393155	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability (MTAG)	670,471 European ancestry individuals	NA	8p23.1	Intergenic	AC022784.1			ENSG00000248538			rs393155-A	rs393155	0	393155	intron_variant	0	0.4936	2E-18	17.69897000433602	(MTAG)	0.0157	[0.012-0.019] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
39	rs12547493	8	9033093	rs393155	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	8p23.1	ENSG00000253252	AC022784.1			ENSG00000248538			rs393155-G	rs393155	0	393155	intron_variant	0	NR	1E-14	14.0		0.01347	[0.01-0.017] unit decrease	Affymetrix [18485882] (imputed)	N
39	rs10582665	8	9084121	rs2929308	2018-09-20	28869591	Kemp JP	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869591	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis.	Heel bone mineral density	76,067 European ancestry women, 66,420 European ancestry men	NA	8p23.1	LOC101929128	AC022784.1			ENSG00000248538			rs2929308-T	rs2929308	0	2929308	intron_variant	0	0.490531	1E-15	15.0	(men)	0.039492	[0.029-0.049] unit increase	NR [17166351] (imputed)	N
39	rs10582665	8	9084121	rs2929308	2018-09-20	28869591	Kemp JP	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869591	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis.	Heel bone mineral density	76,067 European ancestry women, 66,420 European ancestry men	NA	8p23.1	LOC101929128	AC022784.1			ENSG00000248538			rs2929308-T	rs2929308	0	2929308	intron_variant	0	0.490687	2E-39	38.69897000433602		0.0424585	[0.036-0.049] unit increase	NR [17166351] (imputed)	N
39	rs10582665	8	9084121	rs2929308	2018-09-20	28869591	Kemp JP	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869591	Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis.	Heel bone mineral density	76,067 European ancestry women, 66,420 European ancestry men	NA	8p23.1	LOC101929128	AC022784.1			ENSG00000248538			rs2929308-T	rs2929308	0	2929308	intron_variant	0	0.490823	3E-22	21.522878745280337	(women)	0.0432751	[0.034-0.052] unit increase	NR [17166351] (imputed)	N
39	rs10582665	8	9084121	rs2929308	2018-10-18	30048462	Kim SK	2018-07-26	PLoS One	www.ncbi.nlm.nih.gov/pubmed/30048462	Identification of 613 new loci associated with heel bone mineral density and a polygenic risk score for bone mineral density, osteoporosis and fracture.	Heel bone mineral density	394,929 European ancestry individuals	NA	8p23.1		AC022784.1			ENSG00000248538			rs2929308-?	rs2929308	0	2929308	intron_variant	0	NR	2E-126	125.69897000433602		0.0487802	[0.045-0.053] unit increase	Affymetrix [20259828] (imputed)	N
39	rs10582665	8	9084121	rs2929308	2019-01-28	30598549	Morris JA	2018-12-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30598549	An atlas of genetic influences on osteoporosis in humans and mice.	Heel bone mineral density	426,824 British ancestry individuals	NA	8p23.1	LOC101929128	AC022784.1			ENSG00000248538			rs2929308-T	rs2929308	0	2929308	intron_variant	0	0.492135	1E-90	90.0		0.0395283	[0.036-0.043] unit increase	NR [13737936] (imputed)	N
39	rs10582665	8	9084121	rs2929308	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Heel bone mineral density	approximately 446,000 European ancestry individuals	NA	8p23.1		AC022784.1			ENSG00000248538			rs2929308-?	rs2929308	0	2929308	intron_variant	0	NR	3E-21	20.522878745280337				NR [~ 8900000] (imputed)	N
39	rs10582665	8	9085295	rs2929451	2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Nose size	67,023 European ancestry individuals	NA	8p23.1	PPP1R3B, TNKS	AC022784.1			ENSG00000248538			rs2929451-?	rs2929451	0	2929451	intron_variant	0	NR	6E-11	10.221848749616356		0.027	[0.019-0.035] unit increase	Illumina [12039491] (imputed)	N
39	rs10582665	8	9085295	rs2929451	2019-02-08	30664745	Tachmazidou I	2019-01-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30664745	Identification of new therapeutic targets for osteoarthritis through genome-wide analyses of UK Biobank data.	Osteoarthritis (hip)	15,704 European ancestry cases, 378,169 European ancestry controls	NA	8p23.1	NR	AC022784.1			ENSG00000248538			rs2929451-A	rs2929451	0	2929451	intron_variant	0	0.49	3E-9	8.522878745280337		1.07	[1.05-1.1]	Affymetrix, Illumina [up to 17000000] (imputed)	N
39	rs10582665	8	9087278	rs330048	2016-10-14	26606652	Alarcon-Riquelme ME	2015-11-25	Arthritis Rheumatol	www.ncbi.nlm.nih.gov/pubmed/26606652	Genome-Wide Association Study in an Amerindian Ancestry Population Reveals Novel Systemic Lupus Erythematosus Risk Loci and the Role of European Admixture.	Systemic lupus erythematosus	862 Native American ancestry-enriched North American cases, 531 Native American ancestry-enriched South American cases, 1,973 Native American ancestry-enriched North American controls, 344 Native American ancestry-enriched South American controls	NA	8p23.1	Intergenic	AC022784.1			ENSG00000248538			rs330048-A	rs330048	0	330048	intron_variant	0	0.766	7E-6	5.154901959985743		1.41	[1.22-1.64]	Illumina [580483] (imputed)	N
39	rs10582665	8	9087679	rs330050	2019-02-08	30664745	Tachmazidou I	2019-01-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30664745	Identification of new therapeutic targets for osteoarthritis through genome-wide analyses of UK Biobank data.	Osteoarthritis	77,052 European ancestry cases, 378,169 European ancestry controls	NA	8p23.1	NR	AC022784.1			ENSG00000248538			rs330050-G	rs330050	0	330050	intron_variant	0	0.51	2E-11	10.698970004336019		1.04	[1.03-1.05]	Affymetrix, Illumina [up to 17000000] (imputed)	N
39	rs10582665	8	9088291	rs330054	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	8p23.1	ENSG00000254091	AC022784.1			ENSG00000248538			rs330054-G	rs330054	0	330054	intron_variant	0	NR	7E-10	9.154901959985743		0.010769	[0.0074-0.0142] unit increase	Affymetrix [18485882] (imputed)	N
40	rs4841410	8	10517347	rs11775702	2018-07-04	29769521	Ramirez J	2018-05-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29769521	Thirty loci identified for heart rate response to exercise and recovery implicate autonomic nervous system.	Heart rate response to exercise	up to 35,455 European ancestry females, up to 31,802 European ancestry males	NA	8p23.1	NR	RP1L1			ENSG00000183638			rs11775702-C	rs11775702	0	11775702	intron_variant	0	0.578	1E-8	8.0	(females)	0.506	[0.33-0.68] bpm decrease	Affymetrix [~ 7800000] (imputed)	N
40	rs4841410	8	10526186	rs58065122	2018-07-04	29769521	Ramirez J	2018-05-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29769521	Thirty loci identified for heart rate response to exercise and recovery implicate autonomic nervous system.	Heart rate response to exercise	up to 35,455 European ancestry females, up to 31,802 European ancestry males	NA	8p23.1	RP1L1	RP1L1			ENSG00000183638			rs58065122-G	rs58065122	0	58065122	intron_variant	0	0.582	4E-10	9.397940008672037		0.385	[0.26-0.51] bpm decrease	Affymetrix [~ 7800000] (imputed)	N
40	rs10099100	8	10576775	rs10099100	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Red cell distribution width	approximately 445,000 European ancestry individuals	NA	8p23.1		RP1L1 - SOX7	ENSG00000183638	ENSG00000171056		7078	4503	rs10099100-?	rs10099100	0	10099100	intergenic_variant	1	NR	1E-12	12.0				NR [~ 8900000] (imputed)	N
40	rs10099100	8	10576775	rs10099100	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	8p23.1	C8orf74, SOX7, PINX1	RP1L1 - SOX7	ENSG00000183638	ENSG00000171056		7078	4503	rs10099100-C	rs10099100	0	10099100	intergenic_variant	1	0.331	1E-8	8.0		1.08	[NR]	Illumina [9112387] (imputed)	N
40	rs877116	8	10577389	rs4130764	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	8p23.1	SOX7	RP1L1 - SOX7	ENSG00000183638	ENSG00000171056		7692	3889	rs4130764-T	rs4130764	0	4130764	intergenic_variant	1	NR	8E-10	9.096910013008056		0.010656	[0.0073-0.0141] unit increase	Affymetrix [18485882] (imputed)	N
40	rs877116	8	10594474	rs4841436	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Systolic blood pressure	approximately 422,000 European ancestry individuals	NA	8p23.1		PINX1, PINX1, AC105001.1			ENSG00000254093, ENSG00000258724, ENSG00000248896			rs4841436-?	rs4841436	0	4841436	intron_variant	0	NR	3E-8	7.522878745280337				NR [~ 8900000] (imputed)	N
40	rs877116	8	10607400	rs9650657	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	8p23.1	intergenic	AC105001.1, PINX1, PINX1			ENSG00000248896, ENSG00000254093, ENSG00000258724			rs9650657-T	rs9650657	0	9650657	intron_variant	0	0.57601	2E-23	22.69897000433602		9.986	z score increase	Illumina [18485882] (imputed)	N
40	rs877116	8	10609955	rs13276026	2018-08-29	29912962	Feitosa MF	2018-06-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29912962	Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries.	Mean arterial pressure x alcohol consumption interaction (2df test)	91,110 European ancestry drinkers and non-drinkers, 21,416 African American or Afro-Caribbean drinkers and non-drinkers, 12,365 Asian ancestry drinkers and non-drinkers, 8,470 Hispanic or Latin American drinkers and non-drinkers	237,996 European ancestry drinkers, 2,280 African American drinkers, 54,080 Asian ancestry drinkers, 6,448 Hispanic drinkers, 43,315 European ancestry non-drinkers, 2,761 African ancestry non-drinkers, 86,943 Asian ancestry non-drinkers, 6,923 Hispanic non-drinkers	8p23.1	LOC102723313, PINX1	PINX1, PINX1, AC105001.1			ENSG00000254093, ENSG00000258724, ENSG00000248896			rs13276026-A	rs13276026	0	13276026	intron_variant	0	0.55	5E-9	8.301029995663981	(EA, Hispanic)			Affymetrix, Illumina [up to 39321347] (imputed)	N
40	rs877116	8	10609955	rs13276026	2018-10-18	29912962	Feitosa MF	2018-06-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29912962	Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries.	Systolic blood pressure x alcohol consumption interaction (2df test)	63,608 European ancestry drinkers, 10,193 African American or Afro-Caribbean heavy drinkers,  2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,494 European ancestry non-drinkers, 11,224 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	238,002 European ancestry drinkers, 2,280 African American drinkers, 54,081 Asian ancestry drinkers, 6,452 Hispanic drinkers, 43,316 European ancestry non-drinkers, 2,761 African American non-drinkers, 86,945 Asian ancestry non-drinkers, 6,925 Hispanic non-drinkers	8p23.1	LOC102723313, PINX1	PINX1, PINX1, AC105001.1			ENSG00000254093, ENSG00000258724, ENSG00000248896			rs13276026-A	rs13276026	0	13276026	intron_variant	0	0.55	4E-23	22.397940008672037	(EA, Hispanic)			Affymetrix, Illumina [up to 39321347] (imputed)	N
40	rs877116	8	10609955	rs13276026	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	8p23.1	ENSG00000248896	PINX1, PINX1, AC105001.1			ENSG00000254093, ENSG00000258724, ENSG00000248896			rs13276026-G	rs13276026	0	13276026	intron_variant	0	NR	4E-12	11.397940008672037		0.012059	[0.0087-0.0155] unit increase	Affymetrix [18485882] (imputed)	N
40	rs877116	8	10613299	rs2116093	2018-09-20	29808027	Tedja MS	2018-05-28	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29808027	Genome-wide association meta-analysis highlights light-induced signaling as a driver for refractive error.	Spherical equivalent or myopia (age of diagnosis)	145,366 European ancestry individuals, 2,610 Erasmus Rucphen (founder/genetic isolate) individuals, 509  Talana (founder/genetic isolate) individuals, 15,044 East Asian ancestry individuals, 2,275 Malay ancestry individuals, 2,110 Indian ancestry individuals,  2,506 Asian ancestry individuals	NA	8p23.1	BC043573	PINX1, PINX1, AC105001.1			ENSG00000254093, ENSG00000258724, ENSG00000248896			rs2116093-C	rs2116093	0	2116093	intron_variant	0	0.4303	3E-8	7.522878745280337		5.527	[NR] z score increase	Affymetrix, Illumina [~ 11000000] (imputed)	N
40	rs877116	8	10630568	rs28570522	2019-02-27	30542056	Petridis C	2018-12-12	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30542056	Genome-wide meta-analysis implicates mediators of hair follicle development and morphogenesis in risk for severe acne.	Acne (severe)	5,602 European ancestry cases, 21,120 European ancestry controls	NA	8p23.1	Intergenic	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs28570522-A	rs28570522	0	28570522	intron_variant	0	0.37	1E-9	9.0		1.14	[1.10-1.20]	Illumina [up to 7441713] (imputed)	N
40	rs877116	8	10630568	rs28570522	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	Anxiety/tension (special factor of neuroticism)	270,059 British ancestry individuals	NA	8p23.1	SOX7, PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs28570522-A	rs28570522	0	28570522	intron_variant	0	NR	4E-8	7.3979400086720375		0.0083839	[0.0054-0.0114] unit increase	Affymetrix [18485882] (imputed)	N
40	rs877116	8	10633159	rs10100265	2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	8p23.1	PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs10100265-A	rs10100265	0	10100265	intron_variant	0	0.389510131879901	6E-10	9.221848749616356		0.0491	[0.034-0.065] unit increase	NR [5035015] (imputed)	N
40	rs877116	8	10640065	rs1821002	2017-07-01	28135244	Warren HR	2017-01-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28135244	Genome-wide association analysis identifies novel blood pressure loci and offers biological insights into cardiovascular risk.	Systolic blood pressure	140,882 European ancestry individuals	190,318 European ancestry individuals	8p23.1	BLK, GATA4	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs1821002-G	rs1821002	0	1821002	intron_variant	0	0.595473517	4E-19	18.397940008672037		0.4223	[0.33-0.52] unit decrease	Affymetrix [~ 9800000] (imputed)	N
40	rs877116	8	10665069	rs4551304	2018-08-29	29912962	Feitosa MF	2018-06-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29912962	Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries.	Diastolic blood pressure x alcohol consumption interaction (2df test)	63,607 European ancestry drinkers, 10,193 African American or Afro-Caribbean drinkers, 2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,492 European ancestry non-drinkers, 11,223 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	238,058 European ancestry drinkers, 2,280 African American drinkers, 54,081 Asian ancestry drinkers, 6,448 Hispanic drinkers, 43,318 European ancestry non-drinkers, 2,761 African American non-drinkers, 86,943 Asian ancestry non-drinkers, 6,923 Hispanic non-drinkers	8p23.1	PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs4551304-A	rs4551304	0	4551304	intron_variant	0	0.4	2E-14	13.698970004336019	(EA, Hispanic)			Affymetrix, Illumina [up to 39321347] (imputed)	N
40	rs877116	8	10665069	rs4551304	2018-08-29	29912962	Feitosa MF	2018-06-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29912962	Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries.	Diastolic blood pressure x alcohol consumption interaction (2df test)	63,607 European ancestry drinkers, 10,193 African American or Afro-Caribbean drinkers, 2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,492 European ancestry non-drinkers, 11,223 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	238,058 European ancestry drinkers, 2,280 African American drinkers, 54,081 Asian ancestry drinkers, 6,448 Hispanic drinkers, 43,318 European ancestry non-drinkers, 2,761 African American non-drinkers, 86,943 Asian ancestry non-drinkers, 6,923 Hispanic non-drinkers	8p23.1	PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs4551304-A	rs4551304	0	4551304	intron_variant	0	0.4001	3E-13	12.522878745280337	(EA)			Affymetrix, Illumina [up to 39321347] (imputed)	N
40	rs877116	8	10665069	rs4551304	2018-08-29	29912962	Feitosa MF	2018-06-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29912962	Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries.	Mean arterial pressure x alcohol consumption interaction (2df test)	91,110 European ancestry drinkers and non-drinkers, 21,416 African American or Afro-Caribbean drinkers and non-drinkers, 12,365 Asian ancestry drinkers and non-drinkers, 8,470 Hispanic or Latin American drinkers and non-drinkers	237,996 European ancestry drinkers, 2,280 African American drinkers, 54,080 Asian ancestry drinkers, 6,448 Hispanic drinkers, 43,315 European ancestry non-drinkers, 2,761 African ancestry non-drinkers, 86,943 Asian ancestry non-drinkers, 6,923 Hispanic non-drinkers	8p23.1	PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs4551304-A	rs4551304	0	4551304	intron_variant	0	0.4	2E-7	6.698970004336019	(EA)			Affymetrix, Illumina [up to 39321347] (imputed)	N
40	rs877116	8	10671272	rs6601530	2011-10-07	21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	10,553 European ancestry individuals, 687 Orcadian individuals	8p23.1	PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs6601530-G	rs6601530	0	6601530	intron_variant	0	0.45	2E-8	7.698970004336019	(cIMT)	0.0078	[0.01-0.01] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
40	rs877116	8	10675188	rs7814757	2018-10-18	29912962	Feitosa MF	2018-06-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29912962	Novel genetic associations for blood pressure identified via gene-alcohol interaction in up to 570K individuals across multiple ancestries.	Systolic blood pressure x alcohol consumption interaction (2df test)	63,608 European ancestry drinkers, 10,193 African American or Afro-Caribbean heavy drinkers,  2,441 Asian ancestry drinkers, 5,084 Hispanic or Latin American drinkers, 27,494 European ancestry non-drinkers, 11,224 African American or Afro-Caribbean non-drinkers, 9,924 Asian ancestry non-drinkers, 3,387 Hispanic or Latin American non-drinkers	238,002 European ancestry drinkers, 2,280 African American drinkers, 54,081 Asian ancestry drinkers, 6,452 Hispanic drinkers, 43,316 European ancestry non-drinkers, 2,761 African American non-drinkers, 86,945 Asian ancestry non-drinkers, 6,925 Hispanic non-drinkers	8p23.1	PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs7814757-T	rs7814757	0	7814757	intron_variant	0	0.4	3E-22	21.522878745280337	(EA)			Affymetrix, Illumina [up to 39321347] (imputed)	N
40	rs877116	8	10691549	rs11986935	2017-04-04	27723756	Wang J	2016-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27723756	Genome-wide association analysis identifies variation in vitamin D receptor and other host factors influencing the gut microbiota.	Gut microbiota (beta diversity)	1,812 European ancestry individuals	371 European ancestry individuals	8p23.1	SOX7, PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs11986935-?	rs11986935	0	11986935	intron_variant	0	NR	5E-8	7.301029995663981		0.97	NR percent increase	Affymetrix, Illumina [6344846] (imputed)	N
40	rs877116	8	10693113	rs4840519	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	8p23.1	SOX7, PINX1	PINX1, PINX1			ENSG00000254093, ENSG00000258724			rs4840519-T	rs4840519	0	4840519	intron_variant	0	NR	1E-9	9.0		0.010548	[0.0071-0.014] unit increase	Affymetrix [18485882] (imputed)	N
