region2	reg_region	type	tissue/cell	genes
17:44300000-44310000	17:44302236-44302291	prom	E053	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E054	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E067	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E068	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E069	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E070	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E071	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E072	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E074	ENSG00000120071
17:44300000-44310000	17:44302236-44302291	prom	E082	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E053	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E054	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E067	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E068	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E069	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E070	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E071	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E072	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E073	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E074	ENSG00000120071
17:44300000-44310000	17:44302400-44302505	prom	E082	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E053	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E054	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E067	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E068	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E069	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E070	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E071	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E072	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E073	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E074	ENSG00000120071
17:44300000-44310000	17:44302547-44302625	prom	E082	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E053	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E054	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E067	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E068	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E069	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E070	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E071	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E072	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E073	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E074	ENSG00000120071
17:44300000-44310000	17:44302702-44303198	prom	E082	ENSG00000120071
17:44890000-44900000	17:44895763-44895847	prom	E067	NA
17:44890000-44900000	17:44895763-44895847	prom	E072	NA
17:44890000-44900000	17:44895763-44895847	prom	E073	NA
17:44890000-44900000	17:44895763-44895847	prom	E074	NA
17:44890000-44900000	17:44895763-44895847	prom	E082	NA
17:44890000-44900000	17:44895879-44896327	prom	E067	NA
17:44890000-44900000	17:44895879-44896327	prom	E068	NA
17:44890000-44900000	17:44895879-44896327	prom	E072	NA
17:44890000-44900000	17:44895879-44896327	prom	E073	NA
17:44890000-44900000	17:44895879-44896327	prom	E074	NA
17:44890000-44900000	17:44895879-44896327	prom	E082	NA
17:44890000-44900000	17:44896347-44897836	prom	E068	NA
17:44910000-44920000	17:44919054-44919587	prom	E067	NA
17:44910000-44920000	17:44919054-44919587	prom	E068	NA
17:44910000-44920000	17:44919054-44919587	prom	E069	NA
17:44910000-44920000	17:44919054-44919587	prom	E071	NA
17:44910000-44920000	17:44919054-44919587	prom	E072	NA
17:44910000-44920000	17:44919054-44919587	prom	E073	NA
17:44990000-45000000	17:44999602-44999705	prom	E054	NA
17:44990000-45000000	17:44999602-44999705	prom	E068	NA
17:44990000-45000000	17:44999602-44999705	prom	E069	NA
17:44990000-45000000	17:44999602-44999705	prom	E082	NA
17:44990000-45000000	17:44999891-45001234	prom	E053	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E054	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E067	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E068	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E069	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E070	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E071	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E072	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E073	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E074	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E081	ENSG00000108433:ENSG00000262633
17:44990000-45000000	17:44999891-45001234	prom	E082	ENSG00000108433:ENSG00000262633
19:37160001-37200000	19:37177336-37179248	prom	E053	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E054	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E067	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E068	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E069	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E070	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E071	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E072	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E073	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E074	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E081	ENSG00000189042
19:37160001-37200000	19:37177336-37179248	prom	E082	ENSG00000189042
19:37280000-37290000	19:37282187-37282307	prom	E068	NA
19:37280000-37290000	19:37282187-37282307	prom	E074	NA
19:37280000-37290000	19:37282403-37282643	prom	E067	NA
19:37280000-37290000	19:37282403-37282643	prom	E068	NA
19:37280000-37290000	19:37282403-37282643	prom	E071	NA
19:37280000-37290000	19:37282403-37282643	prom	E073	NA
19:37280000-37290000	19:37282403-37282643	prom	E074	NA
19:37280000-37290000	19:37282754-37283163	prom	E067	NA
19:37280000-37290000	19:37282754-37283163	prom	E068	NA
19:37280000-37290000	19:37282754-37283163	prom	E071	NA
19:37280000-37290000	19:37282754-37283163	prom	E073	NA
19:37280000-37290000	19:37282754-37283163	prom	E074	NA
19:37280000-37290000	19:37283625-37283665	prom	E073	NA
19:37280000-37290000	19:37287122-37287709	prom	E068	NA
19:37280000-37290000	19:37287122-37287709	prom	E069	NA
19:37280000-37290000	19:37287122-37287709	prom	E071	NA
19:37280000-37290000	19:37287740-37288125	prom	E054	NA
19:37280000-37290000	19:37287740-37288125	prom	E067	NA
19:37280000-37290000	19:37287740-37288125	prom	E068	NA
19:37280000-37290000	19:37287740-37288125	prom	E069	NA
19:37280000-37290000	19:37287740-37288125	prom	E070	NA
19:37280000-37290000	19:37287740-37288125	prom	E071	NA
19:37280000-37290000	19:37287740-37288125	prom	E072	NA
19:37280000-37290000	19:37287740-37288125	prom	E073	NA
19:37280000-37290000	19:37287740-37288125	prom	E074	NA
19:37280000-37290000	19:37287740-37288125	prom	E082	NA
19:37280000-37290000	19:37288179-37288891	prom	E053	NA
19:37280000-37290000	19:37288179-37288891	prom	E054	NA
19:37280000-37290000	19:37288179-37288891	prom	E067	NA
19:37280000-37290000	19:37288179-37288891	prom	E068	NA
19:37280000-37290000	19:37288179-37288891	prom	E069	NA
19:37280000-37290000	19:37288179-37288891	prom	E070	NA
19:37280000-37290000	19:37288179-37288891	prom	E071	NA
19:37280000-37290000	19:37288179-37288891	prom	E072	NA
19:37280000-37290000	19:37288179-37288891	prom	E073	NA
19:37280000-37290000	19:37288179-37288891	prom	E074	NA
19:37280000-37290000	19:37288179-37288891	prom	E082	NA
19:37280000-37290000	19:37288941-37289013	prom	E053	NA
19:37280000-37290000	19:37288941-37289013	prom	E054	NA
19:37280000-37290000	19:37288941-37289013	prom	E067	NA
19:37280000-37290000	19:37288941-37289013	prom	E068	NA
19:37280000-37290000	19:37288941-37289013	prom	E069	NA
19:37280000-37290000	19:37288941-37289013	prom	E070	NA
19:37280000-37290000	19:37288941-37289013	prom	E071	NA
19:37280000-37290000	19:37288941-37289013	prom	E072	NA
19:37280000-37290000	19:37288941-37289013	prom	E073	NA
19:37280000-37290000	19:37288941-37289013	prom	E074	NA
19:37280000-37290000	19:37288941-37289013	prom	E082	NA
19:37280000-37290000	19:37289056-37289106	prom	E053	NA
19:37280000-37290000	19:37289056-37289106	prom	E054	NA
19:37280000-37290000	19:37289056-37289106	prom	E067	NA
19:37280000-37290000	19:37289056-37289106	prom	E068	NA
19:37280000-37290000	19:37289056-37289106	prom	E070	NA
19:37280000-37290000	19:37289056-37289106	prom	E071	NA
19:37280000-37290000	19:37289056-37289106	prom	E072	NA
19:37280000-37290000	19:37289056-37289106	prom	E073	NA
19:37280000-37290000	19:37289056-37289106	prom	E082	NA
19:37280000-37290000	19:37289452-37289636	prom	E068	NA
19:37280000-37290000	19:37289452-37289636	prom	E072	NA
19:37280001-37320000	19:37282187-37282307	prom	E068	NA
19:37280001-37320000	19:37282187-37282307	prom	E074	NA
19:37280001-37320000	19:37282403-37282643	prom	E067	NA
19:37280001-37320000	19:37282403-37282643	prom	E068	NA
19:37280001-37320000	19:37282403-37282643	prom	E071	NA
19:37280001-37320000	19:37282403-37282643	prom	E073	NA
19:37280001-37320000	19:37282403-37282643	prom	E074	NA
19:37280001-37320000	19:37282754-37283163	prom	E067	NA
19:37280001-37320000	19:37282754-37283163	prom	E068	NA
19:37280001-37320000	19:37282754-37283163	prom	E071	NA
19:37280001-37320000	19:37282754-37283163	prom	E073	NA
19:37280001-37320000	19:37282754-37283163	prom	E074	NA
19:37280001-37320000	19:37283625-37283665	prom	E073	NA
19:37280001-37320000	19:37287122-37287709	prom	E068	NA
19:37280001-37320000	19:37287122-37287709	prom	E069	NA
19:37280001-37320000	19:37287122-37287709	prom	E071	NA
19:37280001-37320000	19:37287740-37288125	prom	E054	NA
19:37280001-37320000	19:37287740-37288125	prom	E067	NA
19:37280001-37320000	19:37287740-37288125	prom	E068	NA
19:37280001-37320000	19:37287740-37288125	prom	E069	NA
19:37280001-37320000	19:37287740-37288125	prom	E070	NA
19:37280001-37320000	19:37287740-37288125	prom	E071	NA
19:37280001-37320000	19:37287740-37288125	prom	E072	NA
19:37280001-37320000	19:37287740-37288125	prom	E073	NA
19:37280001-37320000	19:37287740-37288125	prom	E074	NA
19:37280001-37320000	19:37287740-37288125	prom	E082	NA
19:37280001-37320000	19:37288179-37288891	prom	E053	NA
19:37280001-37320000	19:37288179-37288891	prom	E054	NA
19:37280001-37320000	19:37288179-37288891	prom	E067	NA
19:37280001-37320000	19:37288179-37288891	prom	E068	NA
19:37280001-37320000	19:37288179-37288891	prom	E069	NA
19:37280001-37320000	19:37288179-37288891	prom	E070	NA
19:37280001-37320000	19:37288179-37288891	prom	E071	NA
19:37280001-37320000	19:37288179-37288891	prom	E072	NA
19:37280001-37320000	19:37288179-37288891	prom	E073	NA
19:37280001-37320000	19:37288179-37288891	prom	E074	NA
19:37280001-37320000	19:37288179-37288891	prom	E082	NA
19:37280001-37320000	19:37288941-37289013	prom	E053	NA
19:37280001-37320000	19:37288941-37289013	prom	E054	NA
19:37280001-37320000	19:37288941-37289013	prom	E067	NA
19:37280001-37320000	19:37288941-37289013	prom	E068	NA
19:37280001-37320000	19:37288941-37289013	prom	E069	NA
19:37280001-37320000	19:37288941-37289013	prom	E070	NA
19:37280001-37320000	19:37288941-37289013	prom	E071	NA
19:37280001-37320000	19:37288941-37289013	prom	E072	NA
19:37280001-37320000	19:37288941-37289013	prom	E073	NA
19:37280001-37320000	19:37288941-37289013	prom	E074	NA
19:37280001-37320000	19:37288941-37289013	prom	E082	NA
19:37280001-37320000	19:37289056-37289106	prom	E053	NA
19:37280001-37320000	19:37289056-37289106	prom	E054	NA
19:37280001-37320000	19:37289056-37289106	prom	E067	NA
19:37280001-37320000	19:37289056-37289106	prom	E068	NA
19:37280001-37320000	19:37289056-37289106	prom	E070	NA
19:37280001-37320000	19:37289056-37289106	prom	E071	NA
19:37280001-37320000	19:37289056-37289106	prom	E072	NA
19:37280001-37320000	19:37289056-37289106	prom	E073	NA
19:37280001-37320000	19:37289056-37289106	prom	E082	NA
19:37280001-37320000	19:37289452-37289636	prom	E068	NA
19:37280001-37320000	19:37289452-37289636	prom	E072	NA
19:37320001-37360000	19:37328103-37330187	prom	E053	NA
19:37320001-37360000	19:37328103-37330187	prom	E054	NA
19:37320001-37360000	19:37328103-37330187	prom	E067	NA
19:37320001-37360000	19:37328103-37330187	prom	E068	NA
19:37320001-37360000	19:37328103-37330187	prom	E069	NA
19:37320001-37360000	19:37328103-37330187	prom	E070	NA
19:37320001-37360000	19:37328103-37330187	prom	E071	NA
19:37320001-37360000	19:37328103-37330187	prom	E072	NA
19:37320001-37360000	19:37328103-37330187	prom	E073	NA
19:37320001-37360000	19:37328103-37330187	prom	E074	NA
19:37320001-37360000	19:37328103-37330187	prom	E081	NA
19:37320001-37360000	19:37328103-37330187	prom	E082	NA
19:37320001-37360000	19:37339966-37342893	prom	E053	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E054	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E067	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E068	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E069	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E070	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E071	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E072	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E073	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E074	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E081	ENSG00000197863:ENSG00000251247
19:37320001-37360000	19:37339966-37342893	prom	E082	ENSG00000197863:ENSG00000251247
19:37640001-37680000	19:37662880-37663003	prom	E053	NA
19:37640001-37680000	19:37662880-37663003	prom	E054	NA
19:37640001-37680000	19:37662880-37663003	prom	E067	NA
19:37640001-37680000	19:37662880-37663003	prom	E068	NA
19:37640001-37680000	19:37662880-37663003	prom	E069	NA
19:37640001-37680000	19:37662880-37663003	prom	E070	NA
19:37640001-37680000	19:37662880-37663003	prom	E071	NA
19:37640001-37680000	19:37662880-37663003	prom	E072	NA
19:37640001-37680000	19:37662880-37663003	prom	E073	NA
19:37640001-37680000	19:37662880-37663003	prom	E074	NA
19:37640001-37680000	19:37662880-37663003	prom	E081	NA
19:37640001-37680000	19:37662880-37663003	prom	E082	NA
19:37640001-37680000	19:37663018-37663095	prom	E053	NA
19:37640001-37680000	19:37663018-37663095	prom	E054	NA
19:37640001-37680000	19:37663018-37663095	prom	E067	NA
19:37640001-37680000	19:37663018-37663095	prom	E068	NA
19:37640001-37680000	19:37663018-37663095	prom	E069	NA
19:37640001-37680000	19:37663018-37663095	prom	E070	NA
19:37640001-37680000	19:37663018-37663095	prom	E071	NA
19:37640001-37680000	19:37663018-37663095	prom	E072	NA
19:37640001-37680000	19:37663018-37663095	prom	E073	NA
19:37640001-37680000	19:37663018-37663095	prom	E074	NA
19:37640001-37680000	19:37663018-37663095	prom	E081	NA
19:37640001-37680000	19:37663018-37663095	prom	E082	NA
19:37640001-37680000	19:37663127-37663221	prom	E053	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E054	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E067	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E068	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E069	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E070	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E071	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E072	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E073	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E074	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E081	ENSG00000196967
19:37640001-37680000	19:37663127-37663221	prom	E082	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E053	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E054	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E067	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E068	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E069	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E070	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E071	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E072	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E073	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E074	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E081	ENSG00000196967
19:37640001-37680000	19:37663226-37664281	prom	E082	ENSG00000196967
19:37680001-37720000	19:37700557-37700713	prom	E054	NA
19:37680001-37720000	19:37700557-37700713	prom	E082	NA
19:37680001-37720000	19:37700985-37701815	prom	E053	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E054	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E067	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E068	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E069	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E070	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E071	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E072	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E073	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E074	ENSG00000267360
19:37680001-37720000	19:37700985-37701815	prom	E082	ENSG00000267360
19:37680001-37720000	19:37701907-37701957	prom	E053	NA
19:37680001-37720000	19:37701907-37701957	prom	E054	NA
19:37680001-37720000	19:37701907-37701957	prom	E067	NA
19:37680001-37720000	19:37701907-37701957	prom	E068	NA
19:37680001-37720000	19:37701907-37701957	prom	E069	NA
19:37680001-37720000	19:37701907-37701957	prom	E070	NA
19:37680001-37720000	19:37701907-37701957	prom	E071	NA
19:37680001-37720000	19:37701907-37701957	prom	E072	NA
19:37680001-37720000	19:37701907-37701957	prom	E073	NA
19:37680001-37720000	19:37701907-37701957	prom	E074	NA
19:37680001-37720000	19:37702000-37702217	prom	E053	NA
19:37680001-37720000	19:37702000-37702217	prom	E054	NA
19:37680001-37720000	19:37702000-37702217	prom	E067	NA
19:37680001-37720000	19:37702000-37702217	prom	E068	NA
19:37680001-37720000	19:37702000-37702217	prom	E069	NA
19:37680001-37720000	19:37702000-37702217	prom	E070	NA
19:37680001-37720000	19:37702000-37702217	prom	E071	NA
19:37680001-37720000	19:37702000-37702217	prom	E072	NA
19:37680001-37720000	19:37702000-37702217	prom	E073	NA
19:37680001-37720000	19:37702000-37702217	prom	E074	NA
19:37680001-37720000	19:37702290-37702350	prom	E068	NA
19:37680001-37720000	19:37702290-37702350	prom	E069	NA
19:37680001-37720000	19:37702290-37702350	prom	E071	NA
19:37680001-37720000	19:37702290-37702350	prom	E073	NA
19:37680001-37720000	19:37708209-37708319	prom	E053	NA
19:37680001-37720000	19:37708209-37708319	prom	E054	NA
19:37680001-37720000	19:37708209-37708319	prom	E067	NA
19:37680001-37720000	19:37708209-37708319	prom	E068	NA
19:37680001-37720000	19:37708209-37708319	prom	E070	NA
19:37680001-37720000	19:37708209-37708319	prom	E072	NA
19:37680001-37720000	19:37708209-37708319	prom	E073	NA
19:37680001-37720000	19:37708209-37708319	prom	E074	NA
19:37680001-37720000	19:37708209-37708319	prom	E082	NA
19:37680001-37720000	19:37708336-37709831	prom	E053	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E054	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E067	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E068	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E069	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E070	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E071	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E072	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E073	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E074	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E081	ENSG00000245680:ENSG00000188283
19:37680001-37720000	19:37708336-37709831	prom	E082	ENSG00000245680:ENSG00000188283
2:62730000-62740000	2:62732214-62733987	prom	E053	NA
2:62730000-62740000	2:62732214-62733987	prom	E054	NA
2:62730000-62740000	2:62732214-62733987	prom	E067	NA
2:62730000-62740000	2:62732214-62733987	prom	E068	NA
2:62730000-62740000	2:62732214-62733987	prom	E069	NA
2:62730000-62740000	2:62732214-62733987	prom	E070	NA
2:62730000-62740000	2:62732214-62733987	prom	E071	NA
2:62730000-62740000	2:62732214-62733987	prom	E072	NA
2:62730000-62740000	2:62732214-62733987	prom	E073	NA
2:62730000-62740000	2:62732214-62733987	prom	E074	NA
2:62730000-62740000	2:62732214-62733987	prom	E082	NA
2:202930000-202940000	2:202939189-202939305	prom	E068	NA
5:87040001-87080000	5:87065795-87066620	prom	E053	NA
5:87040001-87080000	5:87065795-87066620	prom	E054	NA
5:87040001-87080000	5:87065795-87066620	prom	E068	NA
5:87040001-87080000	5:87065795-87066620	prom	E069	NA
5:87040001-87080000	5:87065795-87066620	prom	E070	NA
5:87040001-87080000	5:87065795-87066620	prom	E071	NA
5:87040001-87080000	5:87065795-87066620	prom	E072	NA
5:87040001-87080000	5:87065795-87066620	prom	E073	NA
5:87040001-87080000	5:87065795-87066620	prom	E074	NA
5:87040001-87080000	5:87065795-87066620	prom	E081	NA
5:87040001-87080000	5:87065795-87066620	prom	E082	NA
5:87040001-87080000	5:87066626-87066924	prom	E053	NA
5:87040001-87080000	5:87066626-87066924	prom	E054	NA
5:87040001-87080000	5:87066626-87066924	prom	E067	NA
5:87040001-87080000	5:87066626-87066924	prom	E068	NA
5:87040001-87080000	5:87066626-87066924	prom	E069	NA
5:87040001-87080000	5:87066626-87066924	prom	E070	NA
5:87040001-87080000	5:87066626-87066924	prom	E071	NA
5:87040001-87080000	5:87066626-87066924	prom	E072	NA
5:87040001-87080000	5:87066626-87066924	prom	E073	NA
5:87040001-87080000	5:87066626-87066924	prom	E074	NA
5:87040001-87080000	5:87066626-87066924	prom	E081	NA
5:87040001-87080000	5:87066626-87066924	prom	E082	NA
5:87480001-87520000	5:87485766-87485817	prom	E067	NA
5:87480001-87520000	5:87485766-87485817	prom	E068	NA
5:87480001-87520000	5:87485766-87485817	prom	E072	NA
5:87480001-87520000	5:87485899-87486269	prom	E067	NA
5:87480001-87520000	5:87485899-87486269	prom	E068	NA
5:87480001-87520000	5:87485899-87486269	prom	E069	NA
5:87480001-87520000	5:87485899-87486269	prom	E071	NA
5:87480001-87520000	5:87485899-87486269	prom	E072	NA
5:87480001-87520000	5:87485899-87486269	prom	E073	NA
5:87480001-87520000	5:87485899-87486269	prom	E074	NA
5:87480001-87520000	5:87486393-87486508	prom	E067	NA
5:87480001-87520000	5:87486393-87486508	prom	E068	NA
5:87480001-87520000	5:87486393-87486508	prom	E069	NA
5:87480001-87520000	5:87486393-87486508	prom	E071	NA
5:87480001-87520000	5:87486393-87486508	prom	E072	NA
5:87480001-87520000	5:87486393-87486508	prom	E073	NA
5:87480001-87520000	5:87486393-87486508	prom	E074	NA
5:87680001-87720000	5:87693211-87693758	prom	E053	NA
5:87680001-87720000	5:87693211-87693758	prom	E054	NA
5:87680001-87720000	5:87693211-87693758	prom	E067	NA
5:87680001-87720000	5:87693211-87693758	prom	E068	NA
5:87680001-87720000	5:87693211-87693758	prom	E069	NA
5:87680001-87720000	5:87693211-87693758	prom	E070	NA
5:87680001-87720000	5:87693211-87693758	prom	E071	NA
5:87680001-87720000	5:87693211-87693758	prom	E072	NA
5:87680001-87720000	5:87693211-87693758	prom	E073	NA
5:87680001-87720000	5:87693211-87693758	prom	E074	NA
5:87680001-87720000	5:87693211-87693758	prom	E081	NA
5:87680001-87720000	5:87693211-87693758	prom	E082	NA
5:87680001-87720000	5:87693790-87693904	prom	E053	NA
5:87680001-87720000	5:87693790-87693904	prom	E054	NA
5:87680001-87720000	5:87693790-87693904	prom	E067	NA
5:87680001-87720000	5:87693790-87693904	prom	E068	NA
5:87680001-87720000	5:87693790-87693904	prom	E069	NA
5:87680001-87720000	5:87693790-87693904	prom	E070	NA
5:87680001-87720000	5:87693790-87693904	prom	E071	NA
5:87680001-87720000	5:87693790-87693904	prom	E072	NA
5:87680001-87720000	5:87693790-87693904	prom	E073	NA
5:87680001-87720000	5:87693790-87693904	prom	E074	NA
5:87680001-87720000	5:87693790-87693904	prom	E081	NA
5:87680001-87720000	5:87693790-87693904	prom	E082	NA
5:87680001-87720000	5:87698621-87699037	prom	E082	NA
5:87680001-87720000	5:87699083-87699293	prom	E082	NA
5:87760001-87800000	5:87779662-87780952	prom	E053	NA
5:87760001-87800000	5:87779662-87780952	prom	E054	NA
5:87760001-87800000	5:87779662-87780952	prom	E067	NA
5:87760001-87800000	5:87779662-87780952	prom	E068	NA
5:87760001-87800000	5:87779662-87780952	prom	E069	NA
5:87760001-87800000	5:87779662-87780952	prom	E070	NA
5:87760001-87800000	5:87779662-87780952	prom	E071	NA
5:87760001-87800000	5:87779662-87780952	prom	E072	NA
5:87760001-87800000	5:87779662-87780952	prom	E073	NA
5:87760001-87800000	5:87779662-87780952	prom	E074	NA
5:87760001-87800000	5:87779662-87780952	prom	E081	NA
5:87760001-87800000	5:87779662-87780952	prom	E082	NA
5:87760001-87800000	5:87797990-87798093	prom	E053	NA
5:87760001-87800000	5:87797990-87798093	prom	E054	NA
5:87760001-87800000	5:87797990-87798093	prom	E067	NA
5:87760001-87800000	5:87797990-87798093	prom	E068	NA
5:87760001-87800000	5:87797990-87798093	prom	E069	NA
5:87760001-87800000	5:87797990-87798093	prom	E070	NA
5:87760001-87800000	5:87797990-87798093	prom	E071	NA
5:87760001-87800000	5:87797990-87798093	prom	E072	NA
5:87760001-87800000	5:87797990-87798093	prom	E073	NA
5:87760001-87800000	5:87797990-87798093	prom	E074	NA
5:87760001-87800000	5:87797990-87798093	prom	E082	NA
5:87760001-87800000	5:87798132-87798634	prom	E053	NA
5:87760001-87800000	5:87798132-87798634	prom	E054	NA
5:87760001-87800000	5:87798132-87798634	prom	E067	NA
5:87760001-87800000	5:87798132-87798634	prom	E068	NA
5:87760001-87800000	5:87798132-87798634	prom	E069	NA
5:87760001-87800000	5:87798132-87798634	prom	E070	NA
